,Train_set,Test_set,Model name,Split,N_actives_train,N_actives_test,N_mols_train,Num_mols_test,Mean-CV-ROC,ROC-AUC_train,ROC-AUC_test,best_params,DkS_max_ROC_train,DkSc_med_ROC_train,DkSc_mean_ROC_train,DkS_max_ROC_test,DkSc_med_ROC_test,DkSc_mean_ROC_test
27,DUD,DEKOIS,rbfSVC,by_library,1825,58,1239,40,0.9335990141002866,0.999941455418301,0.653419516263553,"{'C': 100.0, 'gamma': 0.0001}",0.6717746814199013,0.5835894658782662,0.5684548662537866,0.7902627189324437,0.695777731442869,0.6950147614720393
28,DEKOIS,DUD,LogReg,by_library,1239,40,1825,58,0.8742468619246863,0.9576313594662218,0.7217668754756748,"{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7902627189324437,0.695777731442869,0.6950147614720393,0.6717746814199013,0.5835894658782662,0.5684548662537866
29,DUD,DEKOIS,LogReg,by_library,1825,58,1239,40,0.9304819937988421,1.0,0.7182652210175147,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.6717746814199013,0.5835894658782662,0.5684548662537866,0.7902627189324437,0.695777731442869,0.6950147614720393
30,DEKOIS,DUD,RandForest,by_library,1239,40,1825,58,0.7760808926080892,0.8740408673894913,0.7077747204496225,"{'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 0.05, 'min_samples_split': 0.2, 'n_estimators': 500}",0.7902627189324437,0.695777731442869,0.6950147614720393,0.6717746814199013,0.5835894658782662,0.5684548662537866
31,DUD,DEKOIS,RandForest,by_library,1825,58,1239,40,0.8209190866750765,0.9153055051421659,0.6649708090075063,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.03, 'min_samples_split': 0.3, 'n_estimators': 500}",0.6717746814199013,0.5835894658782662,0.5684548662537866,0.7902627189324437,0.695777731442869,0.6950147614720393
32,Merged,Merged,LinearSVC,random,2599,311,867,104,0.8782833492856448,0.9444410091516201,0.8748109688476662,{'C': 0.01},0.6803053257032358,0.6274523306275719,0.6209331458362629,0.6459509527170078,0.5766899385018651,0.5738023857675029
33,Merged,Merged,LinearSVC,scaffold,2288,311,1178,104,0.8540092784580329,0.9630509704040193,0.7942585231342214,{'C': 0.01},0.6612620700759702,0.6093080880284039,0.6032130980253494,0.745246024924796,0.6461981628706489,0.6429714208288168
34,Merged,Merged,rbfSVC,random,2599,311,867,104,0.9234647409052192,1.0,0.9226358503881438,"{'C': 100.0, 'gamma': 0.01}",0.6588505947428777,0.5972521248847615,0.5932419530526264,0.7251928117753806,0.6632977114628491,0.6561621146209672
35,Merged,Merged,rbfSVC,scaffold,2288,311,1178,104,0.8730361068539917,0.9822085819724257,0.8002972353531013,"{'C': 100.0, 'gamma': 0.0001}",0.6612620700759702,0.6093080880284039,0.6032130980253494,0.745246024924796,0.6461981628706489,0.6429714208288168
36,Merged,Merged,LogReg,random,2599,311,867,104,0.889434394383068,0.9397541766914758,0.8711689686460329,"{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6704847604164325,0.6152345945854788,0.6097710019819729,0.67350539368888,0.6141401602984171,0.606913809694345
37,Merged,Merged,LogReg,scaffold,2288,311,1178,104,0.8603579309398011,0.9522645471149733,0.8154096834264432,"{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6612620700759702,0.6093080880284039,0.6032130980253494,0.745246024924796,0.6461981628706489,0.6429714208288168
38,Merged,Merged,DTree,random,2599,311,867,104,0.7279505733646113,0.7706754660130867,0.7712786067143864,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 0.02, 'min_samples_split': 0.2}",0.6669840408787354,0.6056803425674004,0.6015092812196522,0.6924526161911483,0.6382857394898679,0.6317687102595702
39,Merged,Merged,DTree,scaffold,2288,311,1178,104,0.7687405039722313,0.825640362561743,0.6462630711932389,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 0.02, 'min_samples_split': 0.2}",0.6612620700759702,0.6093080880284039,0.6032130980253494,0.745246024924796,0.6461981628706489,0.6429714208288168
40,Merged,Merged,RandForest,random,2599,311,867,104,0.7803045295733113,0.8209095968340343,0.7758972678697451,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.05, 'min_samples_split': 0.1, 'n_estimators': 400}",0.6628846434915566,0.6085022794729387,0.6026170425473648,0.705268928319387,0.6328290402258293,0.6281931060746274
41,Merged,Merged,RandForest,scaffold,2288,311,1178,104,0.779952218622084,0.8388168113368041,0.6904007305543619,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.05, 'min_samples_split': 0.1, 'n_estimators': 300}",0.6612620700759702,0.6093080880284039,0.6032130980253494,0.745246024924796,0.6461981628706489,0.6429714208288168
